North(m),East(m),Anomalia Magnética(nT)
-2548038.3,-4664775.0,-124.0134634187945
-2547960.6,-4664775.0,-134.22827789131776
-2547882.9,-4664775.0,-124.1346853900927
-2547805.1999999997,-4664775.0,-127.1477182821667
-2547727.5,-4664775.0,-116.50138371988376
-2547649.8,-4664775.0,-100.85027709395267
-2547572.1,-4664775.0,-86.08814491251492
-2547494.4,-4664775.0,-75.56453984028289
-2547416.7,-4664775.0,-84.53538266966865
-2547339.0,-4664775.0,-104.85694011380399
-2547261.3,-4664775.0,-137.84842030614908
-2547183.5999999996,-4664775.0,-138.1879136113085
-2547105.9,-4664775.0,-154.96347262690762
-2547028.1999999997,-4664775.0,-177.25353259972877
-2546950.5,-4664775.0,-175.42881814818304
-2546872.8,-4664775.0,-165.40988908849098
-2546795.1,-4664775.0,-160.9469645403041
-2546717.4,-4664775.0,-158.8539192036817
-2546639.6999999997,-4664775.0,-155.78716916239995
-2546562.0,-4664775.0,-150.75877929191122
-2546484.3,-4664775.0,-143.54249828298202
-2546406.6,-4664775.0,-124.22517495689262
-2546328.9,-4664775.0,-97.04452962348162
-2546251.2,-4664775.0,-71.67851951665482
-2546173.4999999995,-4664775.0,-54.90491200496125
-2546095.8,-4664775.0,-23.40083399138094
-2546018.0999999996,-4664775.0,13.179951806122093
-2545940.4,-4664775.0,35.96787045049986
-2545862.6999999997,-4664775.0,49.84977041547277
-2545785.0,-4664775.0,60.599359727602646
-2549670.0,-4664664.0,-97.0993351806213
-2549592.3000000003,-4664664.0,-110.31522749754001
-2549514.5999999996,-4664664.0,-118.8049476060707
-2549436.9,-4664664.0,-125.5035557880479
-2549359.1999999997,-4664664.0,-130.30303612699643
-2549281.5,-4664664.0,-138.63368094066288
-2549203.8,-4664664.0,-155.81355529509509
-2549126.1,-4664664.0,-177.35611301463126
-2549048.4,-4664664.0,-200.03960653028747
-2548970.6999999997,-4664664.0,-213.94259824525113
-2548892.9999999995,-4664664.0,-216.71099641993243
-2548815.3,-4664664.0,-209.26532898753734
-2548737.5999999996,-4664664.0,-207.45181033390256
-2548659.9,-4664664.0,-196.17637375515895
-2548582.2,-4664664.0,-174.1473656696516
-2548504.5,-4664664.0,-145.55098484777872
-2548426.8,-4664664.0,-129.01878641932836
-2548349.0999999996,-4664664.0,-117.1199438175126
-2548271.4,-4664664.0,-108.10376917964452
-2548193.6999999997,-4664664.0,-86.21670072789267
-2548116.0,-4664664.0,-84.71966578680343
-2548038.3,-4664664.0,-102.60855149393709
-2547960.6,-4664664.0,-106.40987288533807
-2547882.9,-4664664.0,-111.83842079368509
-2547805.1999999997,-4664664.0,-129.33111263085718
-2547727.5,-4664664.0,-141.75544237305593
-2547649.8,-4664664.0,-105.62428368719466
-2547572.1,-4664664.0,-83.4993239404762
-2547494.4,-4664664.0,-76.89267144888566
-2547416.7,-4664664.0,-83.49795592944206
-2547339.0,-4664664.0,-101.94517780567112
-2547261.3,-4664664.0,-96.37799349424581
-2547183.5999999996,-4664664.0,-84.58889914788936
-2547105.9,-4664664.0,-103.79564918697577
-2547028.1999999997,-4664664.0,-143.26667794525127
-2546950.5,-4664664.0,-158.2220117835307
-2546872.8,-4664664.0,-154.72401030285823
-2546795.1,-4664664.0,-153.09380861567243
-2546717.4,-4664664.0,-154.21667536991555
-2546639.6999999997,-4664664.0,-156.70842916300367
-2546562.0,-4664664.0,-156.01087472387636
-2546484.3,-4664664.0,-143.558273155576
-2546406.6,-4664664.0,-123.0622675443058
-2546328.9,-4664664.0,-101.45432050531434
-2546251.2,-4664664.0,-81.05749517984725
-2546173.4999999995,-4664664.0,-62.415050645000946
-2546095.8,-4664664.0,-40.10189493489984
-2546018.0999999996,-4664664.0,-19.935851545605512
-2545940.4,-4664664.0,-0.15998720986975323
-2545862.6999999997,-4664664.0,17.703243137714416
-2545785.0,-4664664.0,32.14480639042283
-2549670.0,-4664553.0,-88.25697813760776
-2549592.3000000003,-4664553.0,-99.91843424910817
-2549514.5999999996,-4664553.0,-112.72877443705148
-2549436.9,-4664553.0,-125.13484542604868
-2549359.1999999997,-4664553.0,-138.72329676905235
-2549281.5,-4664553.0,-147.88831648579873
-2549203.8,-4664553.0,-153.15867330502869
-2549126.1,-4664553.0,-168.293643546848
-2549048.4,-4664553.0,-188.76223310456396
-2548970.6999999997,-4664553.0,-194.86327823954562
-2548892.9999999995,-4664553.0,-198.514143098593
-2548815.3,-4664553.0,-193.1597171715744
-2548737.5999999996,-4664553.0,-192.2500032820625
-2548659.9,-4664553.0,-189.04383779531037
-2548582.2,-4664553.0,-160.65626024207808
-2548504.5,-4664553.0,-92.0691036141053
-2548426.8,-4664553.0,-66.61013023603121
-2548349.0999999996,-4664553.0,-86.62056001786853
-2548271.4,-4664553.0,-113.47189532612114
-2548193.6999999997,-4664553.0,-104.2577513596882
-2548116.0,-4664553.0,-92.26337641244604
-2548038.3,-4664553.0,-71.51188299914668
-2547960.6,-4664553.0,-89.79193196462467
-2547882.9,-4664553.0,-108.68158964068398
-2547805.1999999997,-4664553.0,-120.87064296056404
-2547727.5,-4664553.0,-103.34993033460472
-2547649.8,-4664553.0,-119.73252892946981
-2547572.1,-4664553.0,-101.42492463653988
-2547494.4,-4664553.0,-80.64562245154488
-2547416.7,-4664553.0,-76.80528471990064
-2547339.0,-4664553.0,-80.25442754131797
-2547261.3,-4664553.0,-83.9543514716801
-2547183.5999999996,-4664553.0,-90.2738753423904
-2547105.9,-4664553.0,-110.2382967180222
-2547028.1999999997,-4664553.0,-123.6671991352364
-2546950.5,-4664553.0,-130.03741711019381
-2546872.8,-4664553.0,-129.63706811492773
-2546795.1,-4664553.0,-143.5479845825101
-2546717.4,-4664553.0,-153.67831928687673
-2546639.6999999997,-4664553.0,-160.92901302256632
-2546562.0,-4664553.0,-158.31356900145627
-2546484.3,-4664553.0,-150.4707493607346
-2546406.6,-4664553.0,-135.67734406667003
-2546328.9,-4664553.0,-117.37421993056587
-2546251.2,-4664553.0,-95.57516704660726
-2546173.4999999995,-4664553.0,-74.77302667037455
-2546095.8,-4664553.0,-55.509523680812975
-2546018.0999999996,-4664553.0,-40.950060731052105
-2545940.4,-4664553.0,-27.284078794033924
-2545862.6999999997,-4664553.0,-18.4693640713635
-2545785.0,-4664553.0,13.038125828717517
-2549670.0,-4664442.0,-84.23312270578431
-2549592.3000000003,-4664442.0,-91.56607280985253
-2549514.5999999996,-4664442.0,-105.80645158597916
-2549436.9,-4664442.0,-119.30079623994587
-2549359.1999999997,-4664442.0,-128.95210499218825
-2549281.5,-4664442.0,-137.80951518392382
-2549203.8,-4664442.0,-147.47406200204227
-2549126.1,-4664442.0,-157.48849016194686
-2549048.4,-4664442.0,-170.92677970757566
